负责人,项目名称
赵宇海,基于高阶SNP互作挖掘与分析的复杂疾病全基因组关联研究
王兴伟,基于群智演化的移动机器人网络协同决策及任务调度方法研究
吴建华,面向智能制造的人机合作伺服系统自律控制研究
郭旭光,非合作安检太赫兹快速高分辨率成像研究
李长荣,高碳硬线钢中B类非金属夹杂物微观尺度结构生长的三维重构与变形/性行为研究
封海波,DEC-205受体介导的树突状细胞靶向杜仲多糖纳米粒的佐剂活性及分子机理研究
刘建立,施用有机物料对潮土结构演变的影响机制研究
张余,微波增敏消融联合化疗、PD-1阻断多功能纳米平台的构建及其骨肉瘤治疗机制研究
卢景景,考虑应力主轴旋转的围岩板裂化形成机理与结构特征研究
龙丹冰,基于BIM的建筑结构设计知识本体及推演方法
方亚鹏,蛋白质聚集状态影响蛋白质/多糖静电复合及界面/乳化特性的机制研究
付凌雨,基于贝叶斯方法整合临床与基因数据的类风湿关节炎预后风险模型研究
董恩清,肺部4D CT图像的高精度非刚性配准算法研究
杨艳霜,硬脆性岩石强度演化特征与深埋岩体长期强度研究
龚畅,lncRNA DRIALA调控自噬介导的乳腺癌细胞凋亡的机制研究
周佩剑,离心泵叶轮内失速涡的触发机理及动力学特性研究
吴瑛,冠心病患者健康行为模型及移动健康管理模式的构建与实证研究
刘永杰,高温高频条件下航空合金焊接接头超长寿命疲劳损伤机理与寿命预测研究
薛志春,基于集合降雨预报和可变模糊集的洪水预报方法研究
张健,准静态边界条件对输水系统水锤压力的影响研究
胡晗,梯形琴键堰泄流能力影响因素及其敏感性研究
李宗坤,中国水库大坝风险后果分析模型研究
左颖,基于数字孪生的复杂产品生命周期能效评估理论与优化方法
田凌,稀疏设计空间压缩原理与演进式设计智能创成方法研究
徐方,真空—堆载联合预压下塑料排水板地基的侧向变形机理与预测方法研究
刘路广,稻田水氮耦合尺度效应及其机理
胡超,高拱坝施工缆机安全运行路径实时规划与智能调控
霍丽娟,纳米水铁矿在土壤中的稳定性及其与砷的协同迁移机制
张留艳,带温大塑性变形制备超细/纳米晶双相不锈钢及其在深海环境下的冲刷腐蚀特性研究
杨春霞,基于潮汐发电贯流式水轮机水动力特性的过鱼伤害机理研究
熊良林,具有加性时变时滞和马尔科夫跳跃的中立型动力系统的稳定与控制
曹秀丽,水工混凝土早龄期热膨胀系数的多尺度预测模型
王斌,降雨诱发土质滑坡大变形破坏机制分析与致灾范围预测
李艳梅,新型免疫刺激剂的设计、合成及免疫评价
杨改强,不确定条件下半湿润偏旱灌区多目标水资源优化配置模型和应用研究
刘日成,基于分形理论的三维岩体裂隙网络非线性渗流机理研究
闫峰,基于函数型数据分析的鄱阳湖水资源短缺动态综合评价模型研究
陆国栋,弱刚度工件的多机械臂协调加工方法研究
常文娟,区域抗旱自适应能力形成机制与定量评估方法研究
于永森,面向航空发动机苛刻环境光纤传感的关键科学问题研究
王剑,地下滴灌多孔出流特性及均匀度数值模型研究
罗永龙,基于位置服务的地理社交网络模型构建及隐私保护方法研究
